2,17,,,,,,,,,,,,,,,
Gene name,P35998,P35972,P35975,P10876,P36001,P36007,P35930,P35937,P10865,P35987,P35963,P35982,P10880,P36016,P35955,P35990
Tgfbr2,4.549363575,4.212680843,3.621431984,4.706862162,3.08370832,1.510841468,3.631631252,5.997083237,1.862571741,7.029153251,2.542898701,9.042788007,4.313896886,9.050294425,5.600222173,15.1082053
Abcg1,7.686855696,3.370144675,3.121924124,3.230199523,3.08370832,3.493820894,4.699758091,5.179299159,2.394735095,8.110561443,4.359254916,10.27589546,3.204609115,9.912227228,5.967449856,20.99596178
Arhgap25,5.647485818,3.791412759,2.122908404,5.445193482,3.259920224,3.493820894,4.058881987,3.134838965,4.523388513,6.272167516,3.995983673,3.493804457,4.93016787,5.818046416,7.160939827,16.88564122
Vasp,14.11871454,14.74438295,8.866264513,8.0293531,9.955972575,11.52016619,11.85620791,15.26530278,12.37279799,14.70715142,13.07776475,15.41384319,12.81843646,12.71350884,17.44331496,33.77128243
Inpp5d,8.784977939,3.791412759,3.121924124,4.245405087,2.731284512,3.965958853,6.195135665,4.634109774,3.459061804,5.298900143,4.359254916,6.165537277,4.313896886,7.972878422,6.059256777,20.21833356
Maml2,0.470623818,0.421268084,0.99901572,0.646039905,0.616741664,0.283282775,0.213625368,0.545189385,0.133040839,0.756985735,0.121090414,1.027589546,0.73952518,1.292899204,0.826262288,1.999615407
Mpp1,4.235614363,5.055217012,2.372662334,4.983736407,4.317191647,3.210538119,6.729199084,4.77040712,3.592102643,5.515181781,3.269441187,4.932429822,3.944134296,7.972878422,6.701905223,14.99711555
Cdh5,20.07994957,17.13156876,11.73843471,13.10538092,8.898701151,9.253903991,14.31289964,14.99270809,5.454674383,21.08745975,11.50358936,25.48422075,11.3393861,23.91863527,25.61413092,45.76897488
Elmo1,1.098122242,0.421268084,0.74926179,0.276874245,0.88105952,0.472137959,0.747688787,0.681486731,0.665204193,1.081408192,1.453084972,0.822071637,0.862779377,1.077416003,1.744331496,3.777051325
Hk1,5.490611212,5.757330486,4.745324669,3.691656598,6.519840447,5.287945138,5.020196142,4.77040712,3.991225158,5.190759324,3.995983673,8.01519846,3.081354919,10.77416003,7.528167511,15.55256428
Capg,2.980617515,2.668031201,3.996062879,1.568954054,2.555072608,1.510841468,2.670317097,2.044460194,2.92689845,2.487238843,2.542898701,2.877250729,2.218575541,3.016764808,3.488662993,18.66307713
Tigd2,21.64869563,20.36129074,15.48474366,11.07496979,19.47141539,15.10841468,14.31289964,21.39868337,16.23098231,19.89791074,18.28465256,23.63455956,26.86941489,19.60897126,29.65363544,37.10397478
Drosha,23.68806551,25.83777584,20.47982226,19.19661431,24.5815606,20.20750463,23.60560314,26.71427987,28.6037803,26.17007826,22.7649979,31.64975802,29.58100722,32.32248009,31.48977386,38.10378248
Srd5a1,20.8643226,14.32311487,15.23498973,31.10220684,16.56391897,8.592910849,44.96813991,23.71573825,75.96631885,36.98416018,24.70244452,111.3907068,24.65083935,24.56508487,99.15147453,210.5150665
Itgb2,17.25620667,5.897753181,7.742371828,6.091233386,5.638780927,5.571227913,9.292703497,6.951164661,7.450286962,8.434983901,5.812339888,12.12555665,5.053422066,9.912227228,13.77103813,48.99057748
Ptk2b,5.019987394,4.353103538,1.99803144,4.706862162,2.114542848,3.304965711,4.486132723,4.225217735,7.583327801,7.461716528,3.63271243,5.754501459,4.806913673,6.033529617,7.619974432,18.21871816
Ccnd1,2.509993697,3.791412759,2.622416264,1.107496979,2.995602368,1.321986284,1.92262831,4.088920389,1.862571741,8.54312472,2.300717872,3.082768639,3.451117509,44.17405612,5.783836014,72.54160339
Cxcr4,1.254996848,2.387185811,1.74827751,0.461457075,0.792953568,0.849848326,0.213625368,1.362973463,1.330408386,1.189549012,0.8476329,2.466214911,1.109287771,1.508382404,0.734455367,14.44166683
Laptm5,16.15808442,8.846629771,6.993110038,9.598307154,6.079310687,8.12077289,10.89489376,10.9037877,8.248531994,14.38272896,10.29268522,18.29109392,6.532472427,9.912227228,12.94477584,75.87429573
Wdfy4,7.843730302,2.808453896,2.122908404,5.537484897,3.436132128,3.304965711,4.058881987,2.044460194,5.188592706,3.893069493,3.63271243,4.315876094,4.806913673,4.094180812,6.059256777,29.2166029
